cve,epss,percentile,date
CVE-2025-10779,0.00106,0.29383,2025-10-24
CVE-2025-10769,0.00057,0.17858,2025-10-24
CVE-2025-10083,0.00055,0.17253,2025-10-24
CVE-2025-9923,0.00049,0.15049,2025-10-25
CVE-2025-9801,0.00089,0.26289,2025-10-25
CVE-2025-9800,0.00055,0.17301,2025-10-25
CVE-2025-9796,0.00039,0.11058,2025-10-25
CVE-2025-9794,0.00053,0.16512,2025-10-25
CVE-2025-9789,0.00048,0.14831,2025-10-25
CVE-2025-11031,0.00108,0.29725,2025-10-25
CVE-2025-10779,0.00106,0.29372,2025-10-25
CVE-2025-10769,0.00057,0.17868,2025-10-25
CVE-2025-10083,0.00055,0.17265,2025-10-25
CVE-2025-9923,0.00049,0.1501,2025-10-26
CVE-2025-9801,0.00089,0.26256,2025-10-26
CVE-2025-9800,0.00055,0.17268,2025-10-26
CVE-2025-9796,0.00039,0.11038,2025-10-26
CVE-2025-9794,0.00053,0.16479,2025-10-26
CVE-2025-9789,0.00048,0.14792,2025-10-26
CVE-2025-11031,0.00108,0.2969,2025-10-26
CVE-2025-10779,0.00106,0.29343,2025-10-26
CVE-2025-10769,0.00057,0.17833,2025-10-26
CVE-2025-10083,0.00055,0.17231,2025-10-26
CVE-2025-9923,0.00049,0.15,2025-10-27
CVE-2025-9801,0.00089,0.26287,2025-10-27
CVE-2025-9800,0.00055,0.17274,2025-10-27
CVE-2025-9796,0.00039,0.11025,2025-10-27
CVE-2025-9794,0.00053,0.16474,2025-10-27
CVE-2025-9789,0.00048,0.14775,2025-10-27
CVE-2025-11031,0.00108,0.29741,2025-10-27
CVE-2025-10779,0.00106,0.29395,2025-10-27
CVE-2025-10769,0.00057,0.17831,2025-10-27
CVE-2025-10083,0.00055,0.17237,2025-10-27
CVE-2025-9923,0.00049,0.14983,2025-10-28
CVE-2025-9801,0.00089,0.26286,2025-10-28
CVE-2025-9800,0.00055,0.17264,2025-10-28
CVE-2025-9796,0.00039,0.11058,2025-10-28
CVE-2025-9794,0.00053,0.16465,2025-10-28
CVE-2025-9789,0.00048,0.14769,2025-10-28
CVE-2025-11031,0.00117,0.31335,2025-10-28
CVE-2025-10779,0.00106,0.29383,2025-10-28
CVE-2025-10769,0.00057,0.17827,2025-10-28
CVE-2025-10083,0.00055,0.17228,2025-10-28
CVE-2025-9923,0.00049,0.14979,2025-10-29
CVE-2025-9801,0.00089,0.26284,2025-10-29
CVE-2025-9800,0.00055,0.17268,2025-10-29
CVE-2025-9796,0.00039,0.11045,2025-10-29
CVE-2025-9794,0.00053,0.16459,2025-10-29
CVE-2025-9789,0.00048,0.14764,2025-10-29
CVE-2025-11031,0.00117,0.31343,2025-10-29
CVE-2025-10779,0.00106,0.29392,2025-10-29
CVE-2025-10769,0.00057,0.1783,2025-10-29
CVE-2025-10083,0.00055,0.1723,2025-10-29
CVE-2025-9923,0.00049,0.15001,2025-10-30
CVE-2025-9801,0.00089,0.26294,2025-10-30
CVE-2025-9800,0.00055,0.17271,2025-10-30
CVE-2025-9796,0.00039,0.11065,2025-10-30
CVE-2025-9794,0.00053,0.16462,2025-10-30
CVE-2025-9789,0.00048,0.14783,2025-10-30
CVE-2025-11031,0.00117,0.31355,2025-10-30
CVE-2025-10779,0.00106,0.29403,2025-10-30
CVE-2025-10769,0.00057,0.17827,2025-10-30
CVE-2025-10083,0.00055,0.17233,2025-10-30
CVE-2025-9923,0.00049,0.15026,2025-10-31
CVE-2025-9801,0.00089,0.26291,2025-10-31
CVE-2025-9800,0.00055,0.17265,2025-10-31
CVE-2025-9796,0.00039,0.11078,2025-10-31
CVE-2025-9794,0.00053,0.16478,2025-10-31
CVE-2025-9789,0.00048,0.14812,2025-10-31
CVE-2025-11031,0.00117,0.31355,2025-10-31
CVE-2025-10779,0.00106,0.29397,2025-10-31
